lead_id,created_date,first_name,last_name,email,company_domain,channel,campaign,became_deal
L000001,2025-01-21 18:00:00,Anaya,Doyle,anaya.doyle@harborview.com,harborview.com,Display - Programmatic,retarget-display,false
L000002,2025-01-23 16:00:00,Priya,Bergstrom,priya.bergstrom@quillon.com,quillon.com,Display - Programmatic,contextual-b2b,false
L000003,2025-01-27 16:30:00,Omar,Szabo,omar.szabo@redwood.com,redwood.com,Display - Programmatic,retarget-display,false
L000004,2025-01-17 09:45:00,Anaya,Whitfield,anaya.whitfield@anvil.com,anvil.com,Display - Programmatic,contextual-b2b,false
L000005,2025-01-05 17:45:00,Adeola,Farrell,adeola.farrell@meridian.com,meridian.com,Display - Programmatic,retarget-display,false
L000006,2025-01-22 12:30:00,Anaya,Almeida,anaya.almeida@oakhurst.com,oakhurst.com,Display - Programmatic,contextual-b2b,false
L000007,2025-01-10 08:15:00,Yusuf,Pires,yusuf.pires@ridgeline.com,ridgeline.com,Display - Programmatic,contextual-b2b,false
L000008,2025-01-13 08:00:00,Noor,Ferreira,noor.ferreira@juniper.com,juniper.com,Display - Programmatic,retarget-display,false
L000009,2025-01-01 07:45:00,Kenji,Horvat,kenji.horvat@juniper.com,juniper.com,Display - Programmatic,retarget-display,false
L000010,2025-01-10 20:45:00,Callum,Doyle,callum.doyle@saltmarsh.com,saltmarsh.com,Display - Programmatic,contextual-b2b,false
L000011,2025-01-15 14:45:00,Ivo,Demir,ivo.demir@harborview.com,harborview.com,Display - Programmatic,contextual-b2b,false
L000012,2025-01-19 13:45:00,Mei,Grant,mei.grant@redwood.com,redwood.com,Display - Programmatic,contextual-b2b,false
L000013,2025-01-25 11:45:00,Alicia,Lindqvist,alicia.lindqvist@ironwood.com,ironwood.com,Display - Programmatic,retarget-display,false
L000014,2025-01-11 17:00:00,Ivo,Okonkwo,ivo.okonkwo@pinnacle.com,pinnacle.com,Display - Programmatic,contextual-b2b,false
L000015,2025-01-16 19:15:00,Jonas,Pires,jonas.pires@brightpath.com,brightpath.com,Display - Programmatic,contextual-b2b,false
L000016,2025-01-18 16:00:00,Jonas,Moreau,jonas.moreau@northwind.com,northwind.com,Display - Programmatic,contextual-b2b,false
L000017,2025-01-30 15:15:00,Alicia,Petrov,alicia.petrov@oakhurst.com,oakhurst.com,Display - Programmatic,retarget-display,false
L000018,2025-01-19 16:15:00,Anaya,Okonkwo,anaya.okonkwo@harborview.com,harborview.com,Display - Programmatic,retarget-display,false
L000019,2025-01-01 18:00:00,Ivo,Moreau,ivo.moreau@harborview.com,harborview.com,Display - Programmatic,retarget-display,false
L000020,2025-01-09 14:45:00,Lena,Horvat,lena.horvat@halcyon.com,halcyon.com,Display - Programmatic,retarget-display,false
L000021,2025-01-09 14:15:00,Yusuf,Petrov,yusuf.petrov@granitepeak.com,granitepeak.com,Display - Programmatic,retarget-display,false
L000022,2025-01-06 18:30:00,Noor,Bergstrom,noor.bergstrom@marlowe.com,marlowe.com,Display - Programmatic,contextual-b2b,false
L000023,2025-01-26 15:45:00,Margit,Pires,margit.pires@northwind.com,northwind.com,Display - Programmatic,contextual-b2b,false
L000024,2025-01-06 09:30:00,Anaya,Kavanagh,anaya.kavanagh@quillon.com,quillon.com,Display - Programmatic,contextual-b2b,false
L000025,2025-01-17 20:45:00,Marcus,Vieira,marcus.vieira@foxglove.com,foxglove.com,Display - Programmatic,contextual-b2b,false
L000026,2025-01-23 13:45:00,Noor,Kavanagh,noor.kavanagh@quarry.com,quarry.com,Display - Programmatic,retarget-display,false
